Date,Open,High,Low,Close,Adj Close,Volume
Nov 13 2024,61471.57,62140.47,61471.57,61872.91,61424.55,2070874
Nov 12 2024,61538.46,62341.14,61471.57,61471.57,61026.13,2102418
Nov 11 2024,62073.58,62073.58,61471.57,61538.46,61092.53,3009136
Nov 8 2024,62541.8,62809.36,61672.24,61672.24,61225.34,2212600
Nov 7 2024,62341.14,62809.36,62341.14,62341.14,61889.39,2201088
Nov 6 2024,62073.58,62474.92,62073.58,62140.47,61690.18,2267616
Nov 5 2024,61939.8,62207.36,61538.46,61939.8,61490.96,1698469
Nov 4 2024,62876.25,63745.82,61806.02,61872.91,61424.55,2920632
Nov 1 2024,62876.25,63478.26,62541.8,62541.8,62088.6,2666040
Oct 31 2024,61204.01,63545.15,61204.01,62608.7,62155.01,4468405
Oct 30 2024,61538.46,61806.02,61270.9,61337.79,60893.32,972497
Oct 29 2024,61605.35,61939.8,61538.46,61538.46,61092.53,2089412
Oct 28 2024,61204.01,61739.13,61204.01,61538.46,61092.53,1689052
Oct 25 2024,61605.35,61739.13,61337.79,61404.68,60959.72,1571694
Oct 24 2024,61672.24,61739.13,61137.13,61337.79,60893.32,1129323
Oct 23 2024,61003.34,61404.68,61003.34,61204.01,60760.5,1120203
